id,name,category,purchase_date,value,depreciation_rate,status,created_at
1,Desk #1,Furniture,2017-03-09,77756.54,15.0,Disposed,2018-03-24T05:19:31
2,Printer #2,Office Equipment,2018-09-25,15710.34,15.0,Retired,2025-06-28T01:19:07
3,Projector #3,Office Equipment,2021-02-20,36413.29,20.0,Active,2016-01-22T11:44:11
4,Angle Grinder #4,Tools,2017-12-29,72210.85,30.0,Active,2025-04-17T20:18:56
5,Angle Grinder #5,Tools,2022-04-09,67015.31,10.0,Retired,2020-01-11T19:06:50
6,Box Truck #6,Vehicles,2019-02-02,25697.27,15.0,Retired,2018-03-02T23:16:55
7,Desktop PC #7,IT Equipment,2022-01-02,31368.54,25.0,Disposed,2016-05-11T05:24:31
8,Workshop Bench #8,Tools,2025-09-06,16119.62,20.0,Disposed,2025-02-07T22:09:09
9,Photocopier #9,Office Equipment,2016-03-07,1442.58,15.0,Disposed,2025-09-01T16:45:17
10,UPS #10,IT Equipment,2019-06-05,60316.99,5.0,Active,2016-11-11T21:53:01
11,Visitor Chair #11,Furniture,2020-01-15,2253.47,30.0,Active,2022-08-10T21:30:17
12,Office Chair #12,Furniture,2022-01-19,69899.76,30.0,Retired,2025-09-28T14:08:48
13,Printer #13,Office Equipment,2017-08-13,79013.23,20.0,Retired,2022-03-26T09:08:37
14,Desktop PC #14,IT Equipment,2025-10-06,59340.11,5.0,Retired,2020-07-06T11:19:35
15,Service Car #15,Vehicles,2025-10-06,65143.02,10.0,Active,2016-02-18T03:19:47
16,Conference Table #16,Furniture,2016-05-13,65263.07,15.0,Active,2025-09-30T05:48:57
17,Postal Scale #17,Office Equipment,2019-05-04,24504.99,20.0,Disposed,2022-06-26T23:48:30
18,UPS #18,IT Equipment,2022-10-20,9565.09,10.0,Retired,2022-02-05T13:05:12
19,Laptop #19,IT Equipment,2019-10-01,39240.85,25.0,Retired,2017-09-12T01:19:40
20,Workshop Bench #20,Tools,2024-09-05,57174.74,10.0,Retired,2025-10-30T15:48:16
21,Angle Grinder #21,Tools,2020-06-08,72914.95,10.0,Disposed,2017-09-28T04:26:37
22,Drawer Unit #22,Furniture,2016-12-03,57540.99,15.0,Retired,2020-04-11T16:24:27
